brand,model,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,car_age
Chevrolet,Avalanche 1500 LT,148000.0,E85 Flex Fuel,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,A/T,Black,Black,None reported,Yes,18000,14
BMW,M5 Base,41000.0,Gasoline,600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,White,None reported,Yes,60200,8
Nissan,Titan SE,127600.0,E85 Flex Fuel,317.0HP 5.6L 8 Cylinder Engine Flex Fuel Capability,A/T,Brown,Gray,None reported,Yes,19500,17
Dodge,Ram 1500 SRT-10 Quad Cab,138450.0,Gasoline,500.0HP 8.3L 10 Cylinder Engine Gasoline Fuel,4-Speed A/T,Red,Black,At least 1 accident or damage reported,Yes,19000,21
GMC,Sierra 1500 SLT,230000.0,E85 Flex Fuel,315.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,A/T,White,Black,None reported,Yes,15500,13
Lexus,RX 350 F Sport,53649.0,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Red,None reported,Yes,33000,9
Mercedes-Benz,GL-Class GL 450 4MATIC,174000.0,Gasoline,335.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,11999,14
INFINITI,QX80 Luxe,49860.0,Gasoline,5.6L V8 32V GDI DOHC,Automatic,Black Obsidian,Graphite,At least 1 accident or damage reported,Yes,47645,4
Mercedes-Benz,AMG C 63 S,13650.0,Gasoline,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,Blue,Black,None reported,Yes,75000,5
BMW,528 i xDrive,134000.0,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Brown,Brown,At least 1 accident or damage reported,Yes,13500,10
Porsche,911 Carrera,78000.0,Gasoline,350.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Brown,Brown,None reported,Yes,68000,12
Porsche,Boxster S,65750.0,Gasoline,280.0HP 3.2L Flat 6 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,None reported,Yes,21750,21
BMW,X6 M Base,18000.0,Gasoline,600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,94000,5
Ford,Mustang Premium,121630.0,Gasoline,210.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,9450,19
Rivian,R1S Launch Edition,4500.0,Unknown,835.0HP Electric Motor Electric Fuel System,1-Speed A/T,Silver,Gray,None reported,Yes,89999,3
Volvo,XC90 Recharge Plug-In Hybrid T8 Inscription 7 Passenger,9408.0,Hybrid,2.0L I4 16V GDI DOHC Hybrid,8-Speed Automatic,Black,Gray,None reported,Unknown,61999,4
BMW,528 i xDrive,120000.0,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,White,None reported,Yes,16000,10
Cadillac,Escalade ESV Platinum,168600.0,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Beige,None reported,Yes,29500,10
Chevrolet,Corvette Base,43705.0,Gasoline,350.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,None reported,Yes,25900,22
Audi,A5 2.0T Premium,111000.0,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Beige,None reported,Yes,11500,13
Audi,TT 2.0T Premium,64549.0,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,17000,14
Buick,LaCrosse CX,53000.0,Gasoline,200.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,4-Speed A/T,Red,Gray,None reported,Yes,6500,19
Chevrolet,Camaro 2SS,13465.0,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,44900,9
Tesla,Model Y Long Range,5844.0,Unknown,425.0HP Electric Motor Electric Fuel System,A/T,White,Black,None reported,Yes,52000,3
BMW,M3 Base,74000.0,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,M/T,Gray,Black,None reported,Yes,40000,11
Kia,Optima LX,100331.0,Gasoline,200.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Red,–,At least 1 accident or damage reported,Yes,6900,15
Toyota,Supra 3.0 Premium,24850.0,Gasoline,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,53568,4
Lincoln,Nautilus Reserve,17467.0,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Pristine White,Slate,None reported,Unknown,43860,5
Nissan,Pathfinder SL,115000.0,Gasoline,260.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,11995,11
BMW,X5 xDrive50i,72000.0,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Brown,At least 1 accident or damage reported,Yes,26500,11
Mazda,MazdaSpeed3 Grand Touring,162000.0,Gasoline,263.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,At least 1 accident or damage reported,Yes,6500,18
GMC,Yukon XL SLT,47589.0,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,45500,9
Toyota,bZ4X Limited,6548.0,Unknown,Electric,Automatic,Wind Chill Pearl,Black,None reported,Unknown,41999,3
RAM,ProMaster 2500 High Roof,10339.0,Gasoline,280.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Gray,None reported,Yes,36990,8
RAM,1500 Classic SLT,32092.0,Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,Patriot Blue Pearlcoat,Black,None reported,Yes,35113,5
Lexus,GS 350 Base,85275.0,Gasoline,3.5 Liter,Automatic,Nebula Gray Pearl,Black,At least 1 accident or damage reported,Unknown,23998,12
Hyundai,Tucson Limited,138000.0,Gasoline,175.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,Brown,Beige,None reported,Yes,10990,10
Chevrolet,SSR Base,87500.0,Gasoline,300.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,Red,Black,None reported,Yes,16999,23
Maserati,GranTurismo Base,34920.0,Gasoline,440.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Brown,None reported,Yes,38900,13
Tesla,Model X Performance,27224.0,Unknown,Electric,1-Speed Automatic,Black,Black,None reported,Unknown,65999,6
BMW,M2 Base,25000.0,Gasoline,365.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,52000,8
Tesla,Model Y Long Range,14642.0,Unknown,425.0HP Electric Motor Electric Fuel System,A/T,Red,Black,None reported,Yes,48500,5
Subaru,Outback 2.5i Limited,162000.0,Gasoline,175.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Gray,Black,None reported,Yes,13999,11
Buick,Roadmaster Estate,119500.0,Gasoline,260.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,White,Beige,At least 1 accident or damage reported,Yes,16999,30
Land,Rover Range Rover 5.0L Supercharged,101800.0,Gasoline,510.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,Yes,36500,9
Ford,Expedition Max XLT,84351.0,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Blue,Ebony,None reported,Yes,42691,5
Nissan,Leaf SL,26930.0,Unknown,107.0HP Electric Motor Electric Fuel System,1-Speed A/T,White,Beige,None reported,Yes,6700,14
Toyota,Tacoma TRD Pro,40698.0,Gasoline,3.5L V6 24V PDI DOHC,6-Speed,Super White,Black,None reported,Unknown,42886,7
Mercedes-Benz,AMG GT 63 S 4-Door,40000.0,Gasoline,630.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,Black,Red,None reported,Yes,112500,6
BMW,230 i,30000.0,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Beige,At least 1 accident or damage reported,Yes,29000,7
Lexus,ES 350 Base,78980.0,Gasoline,272.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Beige,At least 1 accident or damage reported,Yes,10600,19
Porsche,911 Carrera S Cabriolet,28844.0,Gasoline,3.8L H6 24V MPFI DOHC,6-Speed Manual,White,Beige,Unknown,Unknown,69995,19
Porsche,Taycan Turbo,21028.0,Unknown,Dual AC Electric Motors,Single-Speed Fixed Gear,BLACK,BEIGE,None reported,Unknown,96900,6
Maserati,Levante Modena,5409.0,Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,8-Speed Automatic,Blu,Black,None reported,Yes,88950,3
Dodge,Challenger SRT Hellcat,12700.0,Gasoline,717.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,69900,6
Mazda,Mazda6 Touring,19000.0,Gasoline,187.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,Blue,Black,Unknown,Unknown,25900,5
Audi,S4 3.0T Premium,12000.0,Gasoline,349.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,48000,7
Ford,Mustang GT Premium,25717.0,Gasoline,435.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,33900,10
Tesla,Model Y Long Range,12055.0,Unknown,425.0HP Electric Motor Electric Fuel System,A/T,Blue,Black,None reported,Yes,44400,4
Audi,TTS 2.0T Premium Plus,69700.0,Gasoline,265.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Orange,–,At least 1 accident or damage reported,Yes,23000,15
BMW,M2 Competition,25013.0,Gasoline,405.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,55000,6
Audi,Q4 e-tron Sportback Premium,1156.0,Unknown,295.0HP Electric Motor Electric Fuel System,A/T,Blue,Black,None reported,Yes,54900,3
BMW,740 i,57939.0,Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,Yes,27500,10
Mercedes-Benz,AMG GLE 43 Coupe 4MATIC,52694.0,Gasoline,385.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,49999,8
Mercedes-Benz,S-Class S 550 4MATIC,54000.0,Gasoline,449.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Beige,None reported,Yes,37000,11
Honda,S2000 Base,110500.0,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Yellow,Red,None reported,Yes,27000,24
Chevrolet,Corvette Base,97500.0,Gasoline,345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Yellow,Black,None reported,Yes,10000,26
Chevrolet,Colorado Z71,20909.0,Gasoline,3.6L V6 24V GDI DOHC,Automatic,Red,Jet Black,None reported,Yes,35387,6
Mercedes-Benz,S-Class S 63 AMG,77648.0,Gasoline,536.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,Black,None reported,Yes,40000,13
Bentley,Continental GTC Base,79422.0,Gasoline,616.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,64000,13
GMC,Sierra 2500 SLE H/D Extended Cab,53850.0,Gasoline,340.0HP 8.1L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,At least 1 accident or damage reported,Yes,16900,24
Audi,SQ5 3.0T Premium,21832.0,Gasoline,349.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Black,None reported,Yes,42000,6
Toyota,Corolla iM Base,41932.0,Gasoline,137.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,18700,9
GMC,Yukon XL SLT,110000.0,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,Blue,Black,At least 1 accident or damage reported,Yes,34999,9
Toyota,Tundra 1794,67400.0,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Brown,None reported,Yes,47500,6
Subaru,WRX Premium,62662.0,Gasoline,268.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,M/T,Red,Black,At least 1 accident or damage reported,Yes,24000,9
Subaru,WRX Base,102000.0,Gasoline,268.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,M/T,White,Black,At least 1 accident or damage reported,Yes,18000,11
INFINITI,Q50 Premium,79785.0,Gasoline,328.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Red,White,At least 1 accident or damage reported,Yes,16488,12
Chevrolet,Suburban Premier,166549.0,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,At least 1 accident or damage reported,Yes,24950,9
Toyota,Sequoia Limited,190656.0,Gasoline,273.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,At least 1 accident or damage reported,Yes,8900,20
Dodge,Challenger R/T Scat Pack,7928.0,–,–,6-Speed M/T,Red,Red,None reported,Yes,37500,10
Porsche,Cayenne GTS,135606.0,Gasoline,405.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,15000,17
Kia,Telluride S,14700.0,Gasoline,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Black,None reported,Yes,39900,3
Mercedes-Benz,AMG E 63 S 4MATIC,12985.0,Gasoline,603.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,Gray,Black,At least 1 accident or damage reported,Yes,96000,7
BMW,Z4 sDrive35is,4200.0,Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Red,None reported,Yes,64995,12
Subaru,Impreza 2.0i Sport,44000.0,Gasoline,152.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Red,Black,None reported,Yes,23500,9
Dodge,Dart SE,66000.0,Gasoline,160.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,12000,11
Land,Rover Range Rover P525 Westminster,17945.0,Gasoline,5.0L V8 32V GDI DOHC Supercharged,8-Speed Automatic,Santorini Black Metallic,Ebony,None reported,Unknown,89900,5
Nissan,370Z Base,106700.0,Gasoline,332.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Red,Black,None reported,Yes,17500,13
Cadillac,Escalade ESV Luxury,120000.0,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Black,None reported,Yes,55000,6
Mercedes-Benz,E-Class E 350,59600.0,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Beige,None reported,Yes,19900,14
Kia,Optima Hybrid EX,117220.0,Hybrid,206.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Black,Black,None reported,Yes,8900,14
Chevrolet,Silverado 3500 LTZ,85200.0,Diesel,445.0HP 6.6L 8 Cylinder Engine Diesel Fuel,10-Speed A/T,Silver,Gray,None reported,Yes,67500,4
Volkswagen,Golf GTI 2.0T SE 4-Door,63450.0,Gasoline,220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,None reported,Yes,24325,8
Dodge,Ram 1500 SRT-10,73000.0,Gasoline,500.0HP 8.3L 10 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Gray,None reported,Yes,22500,22
Scion,tC Anniversary Edition,115000.0,Gasoline,179.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Silver,None reported,Yes,11495,12
Land,Rover Range Rover 5.0L Supercharged Autobiography,56000.0,Gasoline,510.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Brown,None reported,Yes,49900,10
Lexus,LS 500 Base,67296.0,Gasoline,"3.5L V-6 port/direct injection, DOHC, VVT-iE/VVT-i variable valv","Automatic, 10-Spd",–,–,None reported,Unknown,40900,8
Chevrolet,Suburban 1500 LT,179200.0,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,–,At least 1 accident or damage reported,Yes,16000,11
Maserati,GranTurismo Base,28000.0,Gasoline,444.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Red,None reported,Yes,44999,11
Porsche,911 Carrera Turbo,155000.0,Gasoline,415.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,55000,23
Hyundai,Sonata Hybrid Base,154000.0,Hybrid,206.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Green,Gray,At least 1 accident or damage reported,Yes,8500,14
Cadillac,CTS Luxury,62500.0,Gasoline,270.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Red,Beige,At least 1 accident or damage reported,Yes,18955,14
BMW,323 Ci,177700.0,Gasoline,170.0HP 2.5L Straight 6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Silver,Black,None reported,Yes,2500,26
Tesla,Model 3 Standard Range Plus,83700.0,Unknown,Electric Motor Electric Fuel System,A/T,Black,Black,At least 1 accident or damage reported,Yes,26000,7
Chevrolet,1500 Cheyenne Extended Cab,120000.0,–,–,4-Speed A/T,White,Brown,At least 1 accident or damage reported,Yes,6500,31
Nissan,370Z Touring,65000.0,Gasoline,332.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,None reported,Yes,21500,14
Mercedes-Benz,GLS 450 Base 4MATIC,62808.0,Gasoline,3.0 Liter DOHC Twin Turbo,Automatic,Black,–,At least 1 accident or damage reported,Unknown,38598,8
Ford,Mustang GT Premium,3000.0,Gasoline,460.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Red,Black,None reported,Yes,49500,5
Audi,Q5 2.0T Premium,119000.0,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,–,None reported,Yes,12000,14
RAM,2500 Big Horn,198868.0,Diesel,350.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,6-Speed A/T,Brown,Beige,None reported,Yes,25000,13
Dodge,Ram 1500 ST,188000.0,Gasoline,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,At least 1 accident or damage reported,Yes,8500,15
Mercedes-Benz,C-Class C 300 4MATIC Sport,157405.0,Gasoline,248.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,10750,13
Dodge,Challenger SRT Hellcat,8228.0,Gasoline,707.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Black,None reported,Yes,62500,10
Land,Rover Range Rover 3.0L Supercharged HSE,73101.0,Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Beige,None reported,Yes,42950,8
BMW,M4 Base,10950.0,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,White,None reported,Yes,60995,8
Mercedes-Benz,S-Class S 560 4MATIC,63160.0,Gasoline,463.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,Black,–,At least 1 accident or damage reported,Yes,47000,8
Land,Rover Range Rover 5.0L V8 Supercharged,31866.0,Gasoline,"5L V-8 gasoline direct injection, DOHC, variable valve control,","Automatic, 8-Spd",–,–,None reported,Unknown,68900,7
Chevrolet,Express 3500 Base,75000.0,Gasoline,319.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Gray,None reported,Yes,18900,17
Toyota,4Runner TRD Pro,98000.0,Gasoline,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,36000,10
Mazda,MX-5 Miata Grand Touring,33576.0,Gasoline,167.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Red,Beige,None reported,Yes,18900,14
Volkswagen,Touareg VR6 Lux,123200.0,Gasoline,280.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Beige,At least 1 accident or damage reported,Yes,12449,14
Jaguar,XJ Base,112000.0,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,White,None reported,Yes,8800,13
Chevrolet,Camaro 2SS,68000.0,Gasoline,426.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Gray,At least 1 accident or damage reported,Yes,19500,16
INFINITI,G37 x,120000.0,Gasoline,328.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Red,Black,At least 1 accident or damage reported,Yes,14500,14
BMW,X6 xDrive50i,45000.0,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,46999,7
Chevrolet,Camaro LT1,6700.0,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,Black,None reported,Yes,39500,4
Porsche,Taycan Base,6785.0,Unknown,Electric,2-Speed Automatic,Gentian Blue Metallic,Black,None reported,Unknown,108900,5
Mercedes-Benz,S-Class S 63 AMG,40900.0,Gasoline,577.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,–,None reported,Yes,59750,11
Cadillac,Escalade ESV Premium Luxury,74150.0,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gold,Brown,None reported,Yes,45000,8
Toyota,Camry Hybrid XLE,94448.0,Hybrid,200.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Silver,Gray,None reported,Yes,15999,12
Audi,A6 3.0T Prestige,108000.0,Gasoline,310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Brown,None reported,Yes,19998,11
BMW,X5 M Base,118000.0,Gasoline,555.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Orange,At least 1 accident or damage reported,Yes,17000,14
Jaguar,F-PACE SVR,38800.0,Gasoline,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,57500,6
BMW,740 i,55000.0,Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,40000,9
BMW,M340 i xDrive,34967.0,Hybrid,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Blue,Beige,At least 1 accident or damage reported,Yes,49999,5
Jeep,Wrangler Unlimited Sport,85325.0,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Black,Black,None reported,Yes,30000,10
RAM,2500 Tradesman,63750.0,Gasoline,410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Gray,None reported,Yes,36000,8
Ford,Mustang V6,87248.0,Gasoline,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,19999,10
BMW,328 i,206000.0,Gasoline,190.0HP 2.8L Straight 6 Cylinder Engine Gasoline Fuel,5-Speed M/T,Red,Black,At least 1 accident or damage reported,Yes,15900,29
Mercedes-Benz,GL-Class GL 450,112854.0,Gasoline,335.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Black,None reported,Yes,11999,15
Rivian,R1S Adventure Package,1150.0,Unknown,835.0HP Electric Motor Electric Fuel System,A/T,Green,Black,None reported,Yes,96850,3
Tesla,Model Y Long Range,10000.0,Unknown,425.0HP Electric Motor Electric Fuel System,A/T,Blue,Black,None reported,Yes,48000,3
Mercedes-Benz,E-Class E 350,14100.0,Gasoline,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Gray,Black,None reported,Yes,53000,4
BMW,X7 xDrive40i,14360.0,Hybrid,375.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Black,Black,None reported,Yes,85495,3
Chevrolet,Trailblazer RS,10000.0,Gasoline,155.0HP 1.3L 3 Cylinder Engine Gasoline Fuel,9-Speed A/T,Blue,Black,None reported,Yes,32000,3
Chevrolet,Suburban 1500 LTZ,217500.0,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,20000,11
Chevrolet,Suburban Premier,73846.0,Gasoline,5.3L V8 16V GDI OHV,10-Speed Automatic,Midnight Blue Metallic,Jet Black,None reported,Yes,60995,5
Jeep,Gladiator Overland,40000.0,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,45000,6
GMC,Yukon XL AT4,9980.0,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Black,None reported,Yes,82000,3
Mazda,Mazda6 Grand Touring Reserve,41997.0,Gasoline,227.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,24995,7
Alfa,Romeo Giulia Ti,2000.0,Gasoline,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Brown,None reported,Yes,39000,5
Mercedes-Benz,CLA-Class CLA 250,42750.0,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,22999,10
BMW,330 330i xDrive,19473.0,Gasoline,Intercooled Turbo Premium Unleaded I-4 2.0 L/122,Automatic,Alpine White,Canberra Beige,None reported,Unknown,31698,7
Volkswagen,Beetle 2.0T S,35340.0,Gasoline,174.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,None reported,Yes,23000,7
Mercedes-Benz,CLK-Class CLK 350,93000.0,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Beige,At least 1 accident or damage reported,Yes,12000,18
Audi,RS 7 4.0T Prestige,66150.0,Gasoline,560.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,47995,12
Volvo,XC60 Recharge Plug-In Hybrid T8 Inscription,19352.0,Plug-In Hybrid,455.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,8-Speed A/T,Blue,Beige,None reported,Yes,54599,4
Land,Rover Range Rover Supercharged LWB,81000.0,Gasoline,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,64800,6
Toyota,Sequoia Limited,183000.0,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gold,Beige,None reported,Yes,16000,15
Jeep,Wrangler X,44000.0,Gasoline,190.0HP 4.0L Straight 6 Cylinder Engine Gasoline Fuel,M/T,Green,Green,At least 1 accident or damage reported,Yes,24999,22
